F0-32 PIN,F0-48 PIN,P0-64 PIN,F4-100 PIN,F4-144 PIN,Nucleo,FMC,FMC function,DCMI,LCD,Arduino PWM,ELL-i external function,Ell-i conn. pin,ELL-i name,JTAG,Ard,ELL,DIP,MEM,DDR2,XO2 32,XO2 32 PIN,XO2 256 I/O,XO2 32 BANK,XO2 144,XO2 144 PIN,XO2 4000 I/O,XO2 144 BANK
,,,,XX,,,,,,,MEM DDR2 ADDR,,DDR_A8,,,,,,1,,,,,1,83,PR14B,1
,,,,XX,,,,,,,MEM DDR2 ADDR,,DDR_A9,,,,,,1,,,,,1,84,PR14A,1
,,,,XX,,,,,,,MEM DDR2 ADDR,,DDR_A10,,,,,,1,,,,,1,85,PR13B,1
,,,,XX,,,,,,,MEM DDR2 ADDR,,DDR_A11,,,,,,1,,,,,1,86,PR13A,1
,,,,XX,,,,,,,MEM DDR2 ADDR,,DDR_A12,,,,,,1,,,,,1,87,PR10D,1
,,,,XX,,,,,,,MEM DDR2 ADDR,,DDR_A13,,,,,,1,,,,,1,89,PR10C,1
,,,,XX,,,,,,,MEM DDR2 ADDR,,DDR_A14,,,,,,1,,,,,1,95,PR8B DQ0,1
,,,,XX,,,,,,,MEM DDR2 ADDR,,DDR_A15,,,,,,1,,,,,1,96,PR8A DQ0,1
,,,,XX,,,,,,,MEM DDR2 CTRL,,,,,,,,1,,,,,1,25,PL16A,3
,,,,XX,,,,,,,MEM DDR2 CTRL,,,,,,,,1,,,,,1,26,PL16B,3
,,,,XX,,,,,,,MEM DDR2 CTRL,,,,,,,,1,,,,,1,27,PL17A PCLKT3_0,3
,,,,XX,,,,,,,MEM DDR2 CTRL,,,,,,,,1,,,,,1,28,PL17B PCLKTC_0,3
,,,,XX,,,,,,,MEM DDR2 CTRL,,,,,,,,1,,,,,1,31,PL18D,3
,,,,XX,,,,,,,MEM DDR2 CTRL,,,,,,,,1,,,,,1,32,PL19A,3
,,,,XX,,,,,,,MEM DDR2 CTRL,,,,,,,,1,,,,,1,33,PL19B,3
,,,,XX,,,,,,,MEM DDR2 CTRL,,,,,,,,1,,,,,1,34,PL20A,3
,,,,XX,,,,,,,MEM DDR2 CTRL,,,,,,,,1,,,,,1,35,PL20B,3
,,,,XX,,,,,,,MEM DDR2 CTRL,,,,,,,,1,,,,,1,103,PR4C,1
,,,,XX,,,,,,,MEM DDR2 CTRL CLK,,DDR_CLKN,,,,,,1,,,,,1,91,PR10B PCLKC1_0,1
,,,,XX,,,,,,,MEM DDR2 CTRL CLK,,DDR_CLK,,,,,,1,,,,,1,92,PR10A PCLKT1_0,1
,,,,XX,,,,,,,MEM DDR2 DATA,,DDR_DQS0,,,,,,1,,,,,1,93,PR9B DQS0,1
,,,,XX,,,,,,,MEM DDR2 DATA,,DDR_DQS0N,,,,,,1,,,,,1,94,PR9A DQS0N,1
,,,,XX,,,,,,,MEM DDR2 DATA,,DDR_DQ1,,,,,,1,,,,,1,97,PR6B DQ0,1
,,,,XX,,,,,,,MEM DDR2 DATA,,DDR_DQ0,,,,,,1,,,,,1,98,PR6A DQ0,1
,,,,XX,,,,,,,MEM DDR2 DATA,,DDR_DQ3,,,,,,1,,,,,1,99,PR5B DQ0,1
,,,,XX,,,,,,,MEM DDR2 DATA,,DDR_DQ2,,,,,,1,,,,,1,100,PR5A DQ0,1
,,,,XX,,,,,,,MEM DDR2 DATA,,DDR_DQ5,,,,,,1,,,,,1,104,PR3B DQ0,1
,,,,XX,,,,,,,MEM DDR2 DATA,,DDR_DQ4,,,,,,1,,,,,1,105,PR3A DQ0,1
,,,,XX,,,,,,,MEM DDR2 DATA,,DDR_DQ7,,,,,,1,,,,,1,106,PR2B DQ0,1
,,,,XX,,,,,,,MEM DDR2 DATA,,DDR_DQ6,,,,,,1,,,,,1,107,PR2A DQ0,1
